"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1002.0","1005.4","1004.7","2020-07-01 21:52","1000.2","2020-07-01 02:44","29.4","35.7","2020-07-01 11:29","25.7","2020-07-01 16:30","24.7","78","42","2020-07-01 10:30","1.4","170","9.5","90","2020-07-01 14:29","9.0","0.9","8.0","2020-07-01 16:09","9.0","2020-07-01 15:50","2.2","16.1","11.12","22.0","-2.2","...","...","9.3"
"02","1004.3","1007.8","1007.1","2020-07-02 20:17","1002.5","2020-07-02 13:52","27.8","34.8","2020-07-02 12:00","24.6","2020-07-02 17:50","24.4","84","45","2020-07-02 10:48","1.0","140","8.8","80","2020-07-02 17:27","57.5","9.3","10.5","2020-07-02 14:09","25.5","2020-07-02 14:05","3.2","23.5","12.53","20.0","-0.1","...","...","9.0"
"03","1005.9","1009.4","1007.6","2020-07-03 22:15","1004.6","2020-07-03 14:47","30.0","36.5","2020-07-03 11:53","24.9","2020-07-03 01:36","23.8","73","38","2020-07-03 12:04","1.3","170","6.9","300","2020-07-03 14:15","0.0","0.0","0.0","...","0.0","...","5.7","41.9","24.05","48.8","5.2","...","...","8.5"
"04","1005.4","1008.8","1007.2","2020-07-04 00:01","1003.2","2020-07-04 16:10","31.2","36.9","2020-07-04 11:51","27.4","2020-07-04 04:04","23.2","65","39","2020-07-04 11:01","1.8","180","8.2","360","2020-07-04 13:54","0.0","0.0","0.0","...","0.0","...","8.2","60.2","26.25","50.0","4.5","...","...","8.5"
"05","1003.1","1006.5","1004.9","2020-07-05 00:01","1001.7","2020-07-05 17:32","31.0","37.7","2020-07-05 12:14","27.3","2020-07-05 05:11","23.4","66","37","2020-07-05 12:16","1.9","180","8.9","330","2020-07-05 14:03","0.0","0.0","0.0","...","0.0","...","4.8","35.3","22.10","25.0","4.9","...","...","6.0"
"06","1003.3","1006.7","1005.3","2020-07-06 22:25","1001.6","2020-07-06 02:34","31.2","35.8","2020-07-06 12:09","27.3","2020-07-06 04:58","23.5","65","41","2020-07-06 09:46","1.8","270","8.4","240","2020-07-06 09:45","0.0","0.0","0.0","...","0.0","...","4.5","33.1","18.29","38.8","5.8","...","...","8.8"
"07","1005.1","1008.5","1006.3","2020-07-07 10:08","1003.8","2020-07-07 14:41","31.0","35.9","2020-07-07 12:12","28.4","2020-07-07 05:15","24.2","69","40","2020-07-07 10:32","1.5","160","7.5","270","2020-07-07 09:57","0.0","0.0","0.0","...","0.0","...","2.0","14.7","14.72","25.0","2.8","...","...","9.3"
"08","1002.3","1005.8","1005.0","2020-07-08 00:01","1000.2","2020-07-08 14:15","31.4","37.2","2020-07-08 13:13","27.8","2020-07-08 04:56","23.7","65","39","2020-07-08 11:52","1.8","180","10.0","310","2020-07-08 13:31","0.0","0.0","0.0","...","0.0","...","4.3","31.7","20.44","22.5","5.2","...","...","8.8"
"09","999.6","1003.0","1000.9","2020-07-09 00:01","998.2","2020-07-09 14:42","31.5","36.7","2020-07-09 12:37","27.9","2020-07-09 05:10","23.4","63","39","2020-07-09 12:30","1.5","170","10.3","270","2020-07-09 16:09","0.0","0.0","0.0","...","0.0","...","0.8","5.9","15.91","40.0","4.3","...","...","9.5"
